Source,Target,Type,Label,timeset,Weight,Source_modularity_class,Target_modularity_class,Same_modularity_class
55013,45735047,Undirected,,,170,35,35,1
55828,67792928,Undirected,,,153,41,41,1
62428,38696393,Undirected,,,126,32,32,1
68707,34601057,Undirected,,,126,22,22,1
80321,30406198,Undirected,,,229,49,49,1
87383,9366669,Undirected,,,154,18,18,1
91723,15003364,Undirected,,,168,21,21,1
92604,18215878,Undirected,,,182,42,42,1
93677,75396372,Undirected,,,191,32,32,1
96543,23002387,Undirected,,,127,40,40,1
98496,48133227,Undirected,,,135,20,20,1
99794,14880295,Undirected,,,190,4,4,1
100949,62974311,Undirected,,,207,39,39,1
110308,24817446,Undirected,,,159,16,16,1
124837,55966619,Undirected,,,182,45,45,1
125417,25919487,Undirected,,,189,52,52,1
136445,59788546,Undirected,,,160,46,46,1
137915,62548126,Undirected,,,183,22,22,1
143038,32134204,Undirected,,,147,21,21,1
149739,883720,Undirected,,,154,25,25,1
157738,22934295,Undirected,,,124,41,41,1
169407,15003364,Undirected,,,154,21,21,1
174318,24230582,Undirected,,,184,6,6,1
175046,73019487,Undirected,,,153,21,21,1
